Epoch,Loss
0,0.3161
1,0.3147
2,0.3132
3,0.3118
4,0.3103
5,0.3089
6,0.3075
7,0.3061
8,0.3047
9,0.3034
10,0.3020
11,0.3006
12,0.2993
13,0.2979
14,0.2966
15,0.2953
16,0.2940
17,0.2927
18,0.2914
19,0.2901
20,0.2889
21,0.2876
22,0.2864
23,0.2851
24,0.2839
25,0.2827
26,0.2815
27,0.2803
28,0.2791
29,0.2779
30,0.2767
31,0.2756
32,0.2744
33,0.2733
34,0.2721
35,0.2710
36,0.2699
37,0.2687
38,0.2676
39,0.2665
40,0.2654
41,0.2643
42,0.2633
43,0.2622
44,0.2611
45,0.2601
46,0.2590
47,0.2580
48,0.2570
49,0.2559
50,0.2549
51,0.2539
52,0.2529
53,0.2519
54,0.2509
55,0.2499
56,0.2490
57,0.2480
58,0.2470
59,0.2461
60,0.2451
61,0.2442
62,0.2432
63,0.2423
64,0.2414
65,0.2405
66,0.2396
67,0.2387
68,0.2378
69,0.2369
70,0.2360
71,0.2351
72,0.2342
73,0.2333
74,0.2325
75,0.2316
76,0.2308
77,0.2299
78,0.2291
79,0.2282
80,0.2274
81,0.2266
82,0.2258
83,0.2249
84,0.2241
85,0.2233
86,0.2225
87,0.2217
88,0.2209
89,0.2202
90,0.2194
91,0.2186
92,0.2178
93,0.2171
94,0.2163
95,0.2156
96,0.2148
97,0.2141
98,0.2133
99,0.2126
100,0.2118
101,0.2111
102,0.2104
103,0.2097
104,0.2090
105,0.2082
106,0.2075
107,0.2068
108,0.2061
109,0.2055
110,0.2048
111,0.2041
112,0.2034
113,0.2027
114,0.2020
115,0.2014
116,0.2007
117,0.2001
118,0.1994
119,0.1987
120,0.1981
121,0.1975
122,0.1968
123,0.1962
124,0.1955
125,0.1949
126,0.1943
127,0.1937
128,0.1930
129,0.1924
130,0.1918
131,0.1912
132,0.1906
133,0.1900
134,0.1894
135,0.1888
136,0.1882
137,0.1876
138,0.1870
139,0.1865
140,0.1859
141,0.1853
142,0.1847
143,0.1842
144,0.1836
145,0.1830
146,0.1825
147,0.1819
148,0.1814
149,0.1808
150,0.1803
151,0.1797
152,0.1792
153,0.1787
154,0.1781
155,0.1776
156,0.1771
157,0.1765
158,0.1760
159,0.1755
160,0.1750
161,0.1745
162,0.1740
163,0.1734
164,0.1729
165,0.1724
166,0.1719
167,0.1714
168,0.1709
169,0.1704
170,0.1700
171,0.1695
172,0.1690
173,0.1685
174,0.1680
175,0.1675
176,0.1671
177,0.1666
178,0.1661
179,0.1657
180,0.1652
181,0.1647
182,0.1643
183,0.1638
184,0.1633
185,0.1629
186,0.1624
187,0.1620
188,0.1615
189,0.1611
190,0.1607
191,0.1602
192,0.1598
193,0.1593
194,0.1589
195,0.1585
196,0.1581
197,0.1576
198,0.1572
199,0.1568
200,0.1564
201,0.1559
202,0.1555
203,0.1551
204,0.1547
205,0.1543
206,0.1539
207,0.1535
208,0.1531
209,0.1527
210,0.1523
211,0.1519
212,0.1515
213,0.1511
214,0.1507
215,0.1503
216,0.1499
217,0.1495
218,0.1491
219,0.1487
220,0.1484
221,0.1480
222,0.1476
223,0.1472
224,0.1469
225,0.1465
226,0.1461
227,0.1457
228,0.1454
229,0.1450
230,0.1446
231,0.1443
232,0.1439
233,0.1436
234,0.1432
235,0.1429
236,0.1425
237,0.1421
238,0.1418
239,0.1414
240,0.1411
241,0.1408
242,0.1404
243,0.1401
244,0.1397
245,0.1394
246,0.1390
247,0.1387
248,0.1384
249,0.1380
250,0.1377
251,0.1374
252,0.1370
253,0.1367
254,0.1364
255,0.1361
256,0.1357
257,0.1354
258,0.1351
259,0.1348
